,"Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$"
"Country","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","3.4","3.1","3.1","3.0","2.8","2.3","2.9","2.5","2.3","2.4","1.8","1.3","1.3","1.2","1.3","0.1","",""
"Albania","190.1","177.8","172.2","200.3","188.9","171.3","187.9","181.3","166.0","177.5","93.7","75.3","69.9","70.8","46.5","37.1","34.0","30.4"
"Algeria","170.5","176.3","204.7","257.7","234.6","243.5","202.1","158.7","147.0","148.4","104.9","79.6","69.5","65.7","57.8","49.8","50.7","44.1"
"Andorra","1981.3","1884.0","1785.7","2076.6","1939.0","1791.8","1839.7","1673.6","1687.4","1720.0","1561.7","1397.5","1357.7","1120.1","1045.8","931.8","877.0","852.4"
"Angola","53.0","42.0","51.5","71.3","89.1","79.8","79.1","60.0","81.1","87.0","53.5","37.3","24.2","21.1","14.3","11.4","13.2","7.5"
"Antigua and Barbuda","316.9","310.4","354.6","374.5","368.4","352.9","332.3","359.5","328.0","343.7","364.9","319.0","315.5","324.1","350.1","305.5","288.1","250.1"
"Argentina","959.4","710.9","1013.7","834.8","896.8","847.3","723.0","576.1","467.4","408.2","308.5","238.1","200.6","160.4","142.7","121.5","368.3","386.0"
"Armenia","54.0","59.0","58.3","60.1","52.9","58.2","59.0","54.3","54.2","59.7","50.7","34.2","24.3","15.4","11.2","9.2","9.3","5.9"
"Australia","3674.3","3429.6","3333.9","3797.3","3944.0","4083.9","4067.6","3399.4","2770.1","2821.2","2629.7","2170.5","2054.9","1884.7","1525.0","1210.4","1055.8","1116.2"
"Austria","3576.1","3407.8","3340.9","3906.1","3777.2","3619.2","3751.5","3472.2","3576.2","3717.0","3256.2","2826.2","2694.6","2585.5","2255.8","1825.8","1679.5","1678.7"
"Azerbaijan","41.7","45.3","71.9","89.3","84.0","83.8","68.4","59.2","56.1","47.8","34.4","21.1","14.2","8.9","6.8","5.5","5.5","5.6"
"Bahamas","777.2","915.1","873.8","748.4","797.9","817.1","788.4","784.3","807.6","813.0","768.0","762.0","614.9","617.2","571.4","574.8","527.0","519.6"
"Bahrain","653.5","674.6","732.4","716.3","694.7","634.6","503.6","501.4","501.8","500.6","454.0","407.7","385.6","357.6","354.1","335.6","324.3","320.7"
"Bangladesh","6.1","5.5","5.6","5.5","5.1","4.7","4.6","4.2","3.5","3.3","3.2","2.8","2.5","2.6","2.5","2.2","1.8","2.4"
"Barbados","523.3","534.0","530.9","544.5","630.2","704.6","555.4","586.7","625.9","618.2","558.2","568.0","539.7","547.9","443.1","358.9","332.3","313.5"
"Belarus","239.6","211.1","219.4","280.3","284.4","238.8","201.5","232.6","186.6","230.1","196.1","159.1","146.8","108.8","83.0","62.8","55.1","45.1"
"Belgium","3480.5","3298.6","3235.6","3859.2","3763.8","3604.2","3765.9","3458.6","3551.2","3501.5","3009.4","2641.5","2564.3","2480.1","2082.4","1529.7","1415.0","1375.3"
"Belize","190.7","201.3","200.9","159.7","175.2","162.5","164.4","166.5","163.4","145.4","138.9","115.7","104.6","95.4","96.1","82.2","85.5","70.2"
"Benin","9.2","6.2","6.3","7.4","9.6","8.6","9.0","7.5","8.1","6.3","5.8","6.2","5.6","5.8","4.7","4.2","4.8","4.1"
"Bhutan","72.1","67.5","67.7","56.8","56.4","55.7","54.7","50.3","42.9","39.0","41.3","30.2","30.1","30.9","26.3","26.6","26.0","25.4"
"Bolivia (Plurinational State of)","150.9","138.1","132.5","115.4","96.2","79.3","71.8","60.6","56.1","46.9","38.6","32.2","28.8","24.8","25.3","23.8","25.0","24.5"
"Bosnia and Herzegovina","324.6","315.2","303.4","346.0","331.5","307.2","316.9","283.0","288.4","268.3","214.1","165.0","142.9","138.7","123.2","78.8","66.6","60.3"
"Botswana","352.5","257.2","253.3","284.7","278.6","304.6","265.5","226.2","174.3","202.2","172.7","146.9","151.9","165.6","149.0","114.1","109.1","107.0"
"Brazil","389.0","341.8","333.1","444.9","433.8","412.3","456.3","401.5","317.1","308.0","254.9","207.5","159.6","125.6","107.4","104.3","110.7","129.8"
"Brunei Darussalam","636.7","652.3","702.5","736.7","767.0","803.9","802.2","737.1","671.1","709.2","613.0","558.5","540.6","514.4","443.9","395.5","386.6","427.9"
"Bulgaria","344.3","309.7","290.9","352.0","308.9","283.8","300.9","267.8","247.1","252.4","201.4","163.8","159.5","138.5","118.8","87.9","67.2","56.3"
"Burkina Faso","19.2","16.4","9.5","12.9","12.7","8.1","10.1","8.5","10.2","8.7","7.7","6.8","5.6","7.1","3.7","3.1","2.6","2.5"
"Burundi","5.8","5.4","7.4","7.6","3.9","6.7","8.6","4.6","4.3","3.1","4.2","3.9","3.1","3.0","1.5","1.9","2.3","2.0"
"Cabo Verde","101.0","94.9","95.1","107.5","108.7","104.2","105.2","93.8","94.9","89.2","92.6","76.5","67.9","68.3","63.9","52.0","48.1","44.2"
"Cambodia","19.5","16.9","15.6","13.6","14.4","13.4","11.3","10.7","9.0","7.6","6.1","5.2","5.8","5.6","5.4","4.7","3.8","3.9"
"Cameroon","9.0","8.6","9.2","8.4","9.6","9.1","16.0","10.6","9.9","8.0","7.4","7.6","7.3","7.8","8.3","6.9","5.4","4.5"
"Canada","3505.3","3338.8","3386.5","3784.5","3983.4","4030.5","3990.0","3721.8","3220.9","3280.4","3077.9","2758.5","2397.7","2128.6","1866.2","1558.1","1495.6","1456.0"
"Central African Republic","3.1","2.4","1.8","3.4","2.1","4.9","4.1","4.8","3.6","6.1","7.3","5.7","5.4","5.0","5.2","3.8","3.7","4.3"
"Chad","4.7","5.8","7.5","12.7","11.2","9.3","8.3","7.7","7.5","7.4","8.2","7.1","9.5","9.9","5.8","5.2","4.1","3.9"
