"Country","Year","Dentists (per 10 000 population)","Dentists (number)","Dental Assistants and Therapists (number)","Dental Prosthetic Technicians (number)"
"Afghanistan","2016","0.034","120","",""
"Afghanistan","2015","0.036","123","",""
"Afghanistan","2014","0.033","111","",""
"Afghanistan","2008","0.138","382","",""
"Afghanistan","2007","0.115","311","",""
"Afghanistan","2006","0.127","337","",""
"Albania","2006","3.379","1035","",""
"Albania","2003","4.330","1350","",""
"Albania","2002","4.293","1342","",""
"Albania","2001","4.873","1525","",""
"Albania","2000","4.656","1457","",""
"Albania","1999","4.563","1425","",""
"Albania","1998","4.468","1390","",""
"Albania","1997","4.388","1360","",""
"Albania","1996","3.334","1033","",""
"Albania","1995","3.678","1145","",""
"Albania","1994","4.100","1290","",""
"Albania","1993","3.868","1236","",""
"Albania","1992","3.666","1190","",""
"Albania","1991","3.518","1154","",""
"Albania","1990","3.393","1115","",""
"Albania","1989","","1099","",""
"Algeria","2018","3.656","15437","46","729"
"Algeria","2007","3.109","10621","","389"
"Algeria","2005","2.722","9022","",""
"Algeria","2002","2.782","8861","15","677"
"Andorra","2015","8.205","64","",""
"Andorra","2009","6.036","51","",""
"Andorra","2007","5.683","47","",""
"Andorra","2006","5.679","46","",""
"Andorra","2005","5.830","46","",""
"Andorra","2004","5.898","45","",""
"Andorra","2003","6.011","44","",""
"Andorra","2002","6.000","42","",""
"Andorra","2001","6.241","42","",""
"Andorra","2000","6.575","43","",""
"Andorra","1999","4.814","31","",""
"Andorra","1998","5.304","34","",""
"Andorra","1997","7.465","48","",""
"Andorra","1995","4.851","31","",""
"Angola","2004","0.118","222","",""
"Angola","1997","0.001","2","",""
"Antigua and Barbuda","2014","0.432","4","7",""
"Antigua and Barbuda","1997","1.813","13","",""
"Argentina","2004","9.247","35592","",""
"Argentina","2001","9.643","35944","",""
"Argentina","1998","8.014","28900","",""
"Argentina","1992","6.532","21900","",""
"Armenia","2017","5.562","1638","",""
"Armenia","2015","3.692","1080","",""
"Armenia","2014","3.907","1138","",""
"Armenia","2013","4.193","1215","",""
"Armenia","2012","4.473","1290","",""
"Armenia","2011","4.509","1297","",""
"Armenia","2010","4.369","1257","",""
"Armenia","2009","4.311","1245","",""
"Armenia","2008","4.117","1197","",""
"Armenia","2007","3.441","1009","",""
"Armenia","2006","3.194","945","",""
"Armenia","2005","3.217","959","",""
"Armenia","2004","2.353","706","",""
"Armenia","2003","2.084","629","",""
"Armenia","2002","1.931","586","",""
"Armenia","2001","1.691","516","",""
"Armenia","2000","2.417","742","",""
"Australia","2017","5.947","14620","",""
"Australia","2016","5.855","14205","",""
"Australia","2015","5.784","13843","",""
"Australia","2014","5.709","13472","",""
"Australia","2013","5.611","13049","",""
"Australia","2012","5.574","12767","",""
"Australia","2011","5.352","12062","",""
"Australia","2010","5.179","11473","",""
"Australia","2009","5.266","11455","",""
"Australia","2006","4.872","10001","",""
"Australia","2005","4.992","10074","",""
"Australia","2001","4.272","8200","13096",""
"Australia","1996","12.820","23318","",""
"Austria","2017","5.679","5009","",""
"Austria","2016","5.663","4954","",""
"Austria","2015","5.653","4906","",""
"Austria","2014","5.679","4893","",""
"Austria","2013","5.672","4853","",""
"Austria","2012","5.642","4797","",""
"Austria","2011","5.611","4743","",""
"Austria","2010","5.571","4685","",""
"Austria","2009","5.517","4619","",""
"Austria","2008","5.447","4544","",""
"Austria","2007","5.401","4490","",""
"Austria","2006","5.391","4467","",""
"Austria","2005","5.127","4232","",""
"Austria","2004","5.006","4113","",""
"Austria","2003","4.938","4037","",""
"Austria","2002","4.863","3956","",""
"Austria","2001","4.790","3879","",""
"Austria","2000","4.613","3722","",""
"Austria","1999","4.553","3666","",""
"Austria","1998","4.507","3624","",""
"Austria","1997","4.504","3618","",""
"Austria","1996","4.381","3513","",""
"Austria","1995","4.229","3379","",""
"Austria","1994","4.121","3275","",""
"Austria","1993","3.988","3147","",""
"Austria","1992","3.828","2998","",""
"Austria","1991","3.717","2889","",""
"Austria","1990","3.588","2771","",""
"Austria","1989","","2663","",""
"Azerbaijan","2014","2.736","2601","",""
"Azerbaijan","2013","2.613","2452","",""
"Azerbaijan","2012","2.656","2461","",""
"Azerbaijan","2011","2.625","2401","",""
"Azerbaijan","2010","2.731","2467","",""
"Azerbaijan","2009","2.753","2457","",""
"Azerbaijan","2008","2.818","2486","",""
"Azerbaijan","2007","2.891","2522","",""
"Azerbaijan","2006","2.817","2431","",""
"Azerbaijan","2005","2.803","2393","",""
"Azerbaijan","2004","2.747","2321","",""
"Azerbaijan","2003","2.721","2275","",""
"Azerbaijan","2002","2.809","2325","",""
"Azerbaijan","2001","2.751","2255","",""
"Azerbaijan","2000","2.750","2234","",""
"Azerbaijan","1999","2.784","2242","",""
"Azerbaijan","1998","2.852","2279","",""
"Azerbaijan","1997","3.063","2428","",""
"Azerbaijan","1996","3.162","2484","",""
"Azerbaijan","1995","3.210","2496","",""
"Azerbaijan","1994","3.209","2466","",""
"Azerbaijan","1993","3.109","2357","",""
"Azerbaijan","1992","3.070","2294","",""
"Azerbaijan","1991","3.019","2221","",""
"Azerbaijan","1990","2.988","2164","",""
"Azerbaijan","1989","","2170","",""
"Bahamas","2017","2.672","102","",""
"Bahamas","2011","2.336","84","40","6"
"Bahamas","2008","2.299","79","31","5"
"Bahrain","2015","0.977","134","","82"
"Bahrain","2014","0.980","131","","208"
"Bahrain","2013","1.019","134","","196"
"Bahrain","2012","1.069","139","","191"
"Bahrain","2011","0.994","127","","181"
"Bahrain","2010","0.983","122","","172"
"Bahrain","2009","0.996","118","","159"
"Bahrain","2008","1.068","119","","154"
"Bahrain","2006","1.075","103","","150"
"Bahrain","2005","1.102","98","","145"
"Bahrain","2004","2.169","180","96","66"
"Bangladesh","2019","0.589","9608","","23"
"Bangladesh","2018","0.595","9608","",""
"Bangladesh","2017","0.511","8155","",""
"Bangladesh","2016","0.444","7015","",""
"Bangladesh","2015","0.417","6520","",""
"Bangladesh","2014","0.412","6360","",""
"Bangladesh","2013","0.395","6034","",""
"Bangladesh","2012","0.319","4815","","2170"
"Bangladesh","2011","0.323","4815","","2170"
"Bangladesh","2010","0.294","4336","","1916"
"Bangladesh","2009","0.263","3841","","1682"
"Bangladesh","2008","0.234","3383","","1436"
"Bangladesh","2007","0.144","2059","","1103"
"Bangladesh","2005","0.169","2344","",""
"Bangladesh","2004","0.142","1948","","589"
"Bangladesh","2002","0.142","1886","",""
"Barbados","2017","3.075","88","",""
"Barbados","2005","3.004","83","11",""
"Barbados","2001","2.202","60","","2"
"Barbados","1995","1.880","50","11",""
"Belarus","2018","6.228","5887","6768","1822"
"Belarus","2015","5.923","5591","",""
"Belarus","2014","5.740","5414","",""
"Belarus","2013","5.514","5196","",""
"Belarus","2012","5.516","5194","",""
"Belarus","2011","5.441","5123","",""
"Belarus","2010","5.400","5087","",""
"Belarus","2009","5.493","5182","",""
"Belarus","2008","5.411","5115","",""
"Belarus","2007","5.046","4784","",""
"Belarus","2006","4.883","4647","",""
"Belarus","2005","4.764","4555","",""
"Belarus","2004","4.634","4456","",""
"Belarus","2003","4.458","4315","",""
"Belarus","2002","4.488","4374","",""
"Belarus","2001","4.477","4393","",""
"Belarus","2000","4.543","4485","",""
"Belarus","1999","4.526","4492","",""
"Belarus","1998","4.151","4139","",""
"Belarus","1997","3.987","3991","",""
"Belarus","1996","3.866","3883","",""
"Belarus","1995","3.667","3695","",""
"Belarus","1994","3.607","3646","",""
"Belarus","1993","3.481","3528","",""
"Belarus","1992","3.294","3345","",""
"Belarus","1991","3.232","3284","",""
"Belarus","1990","3.191","3239","",""
"Belarus","1989","","3157","",""
"Belgium","2018","10.474","12027","",""
"Belgium","2017","7.457","8516","",""
"Belgium","2016","7.467","8478","",""
"Belgium","2015","7.345","8291","",""
"Belgium","2014","7.226","8108","",""
"Belgium","2013","7.141","7965","",""
"Belgium","2012","7.099","7869","",""
"Belgium","2011","7.061","7777","",""
"Belgium","2010","7.016","7675","",""
"Belgium","2009","7.049","7655","",""
"Belgium","2008","7.109","7663","",""
"Belgium","2007","7.176","7677","",""
"Belgium","2006","7.296","7748","",""
"Belgium","2005","7.295","7694","",""
"Belgium","2004","7.359","7712","",""
"Belgium","2003","7.371","7680","",""
"Belgium","2002","7.414","7685","",""
"Belgium","2001","7.443","7680","",""
"Belgium","2000","7.449","7659","",""
"Belgium","1999","8.119","8326","",""
"Belgium","1998","8.049","8240","",""
"Belgium","1997","7.918","8095","",""
"Belgium","1996","7.829","7992","",""
"Belgium","1995","7.708","7852","",""
"Belgium","1994","7.554","7672","",""
"Belgium","1993","7.507","7596","",""
"Belgium","1992","7.467","7525","",""
"Belgium","1991","7.384","7413","",""
"Belgium","1990","7.280","7285","",""
"Belgium","1989","","7182","",""
"Belize","2019","1.383","54","31","5"
"Belize","2017","1.543","58","",""
"Belize","2010","0.372","12","",""
"Belize","2009","0.381","12","",""
"Belize","2000","1.294","32","",""
"Benin","2018","0.010","12","",""
"Benin","2016","0.008","9","",""
"Benin","2008","0.043","37","",""
"Benin","2004","0.014","11","","1"
"Bhutan","2019","0.773","59","72","32"
"Bhutan","2018","0.795","60","67","38"
"Bhutan","2017","0.899","67","","44"
"Bhutan","2007","0.105","7","","58"
"Bhutan","2004","0.157","10","34","14"
"Bolivia (Plurinational State of)","2016","2.201","2428","",""
